From;To;Type;Through;Data;Comment
2776;1049;sea;0;0;#Sea of Azov
2776;1048;sea;0;0;#Sea of Azov
2776;1047;sea;0;0;#Sea of Azov
2776;979;sea;0;0;#Sea of Azov
2776;976;sea;0;0;#Sea of Azov
2776;973;sea;0;0;#Sea of Azov
2776;965;sea;0;0;#Sea of Azov
2776;964;sea;0;0;#Sea of Azov
2776;967;sea;0;0;#Sea of Azov
2776;966;sea;0;0;#Sea of Azov
2777;1049;sea;0;0;#Eastern Black Sea
2777;1095;sea;0;0;#Eastern Black Sea
2777;1094;sea;0;0;#Eastern Black Sea
2777;1096;sea;0;0;#Eastern Black Sea
2777;886;sea;0;0;#Eastern Black Sea
2777;882;sea;0;0;#Eastern Black Sea
2777;884;sea;0;0;#Eastern Black Sea
2777;883;sea;0;0;#Eastern Black Sea
2777;880;sea;0;0;#Eastern Black Sea
2781;1152;sea;0;0;#Gulf of Suez
2781;1154;sea;0;0;#Gulf of Suez
2781;922;sea;0;0;#Gulf of Suez
2781;921;sea;0;0;#Gulf of Suez
2781;1757;sea;0;0;#Gulf of Suez
2781;1756;sea;0;0;#Gulf of Suez
2781;1755;sea;0;0;#Gulf of Suez
2781;1772;sea;0;0;#Gulf of Suez
2781;1770;sea;0;0;#Gulf of Suez
2781;1771;sea;0;0;#Gulf of Suez
2781;1834;sea;0;0;#Gulf of Suez
2781;1833;sea;0;0;#Gulf of Suez
2782;1412;sea;0;0;#Red Sea
2782;1180;sea;0;0;#Red Sea
2782;1179;sea;0;0;#Red Sea
2782;1155;sea;0;0;#Red Sea
2782;1152;sea;0;0;#Red Sea
2782;1875;sea;0;0;#Red Sea
2782;1851;sea;0;0;#Red Sea
2782;1849;sea;0;0;#Red Sea
2782;1833;sea;0;0;#Red Sea
2783;1873;sea;0;0;#Straits of Obokk
2783;1874;sea;0;0;#Straits of Obokk
2783;1875;sea;0;0;#Straits of Obokk
2783;1412;sea;0;0;#Straits of Obokk
2783;1176;sea;0;0;#Straits of Obokk
2784;1173;sea;0;0;#Bal el Mandeb
2784;1175;sea;0;0;#Bal el Mandeb
2784;1872;sea;0;0;#Bal el Mandeb
2784;1177;sea;0;0;#Bal el Mandeb
2785;1174;sea;0;0;#Coast of Mascate
2785;1172;sea;0;0;#Coast of Mascate
2786;1172;sea;0;0;#Mascate Coast
2786;1171;sea;0;0;#Mascate Coast
2787;1146;sea;0;0;#Straits of Hormuz
2787;1145;sea;0;0;#Straits of Hormuz
2787;1142;sea;0;0;#Straits of Hormuz
2787;1141;sea;0;0;#Straits of Hormuz
2787;1167;sea;0;0;#Straits of Hormuz
2787;1168;sea;0;0;#Straits of Hormuz
2787;1169;sea;0;0;#Straits of Hormuz
2787;1166;sea;0;0;#Straits of Hormuz
2787;1171;sea;0;0;#Straits of Hormuz
2788;1167;sea;0;0;#Persian Gulf
2788;1164;sea;0;0;#Persian Gulf
2788;1165;sea;0;0;#Persian Gulf
2788;1162;sea;0;0;#Persian Gulf
2788;1163;sea;0;0;#Persian Gulf
2788;935;sea;0;0;#Persian Gulf
2788;932;sea;0;0;#Persian Gulf
2788;1132;sea;0;0;#Persian Gulf
2788;1136;sea;0;0;#Persian Gulf
2788;1138;sea;0;0;#Persian Gulf
2788;1141;sea;0;0;#Persian Gulf
2789;1146;sea;0;0;#Gulf of Indus
2789;1222;sea;0;0;#Gulf of Indus
2789;1288;sea;0;0;#Gulf of Indus
2789;1293;sea;0;0;#Gulf of Indus
2790;1293;sea;0;0;#Gulf of Gujarat
2790;1292;sea;0;0;#Gulf of Gujarat
2790;1291;sea;0;0;#Gulf of Gujarat
2790;1295;sea;0;0;#Gulf of Gujarat
2790;1296;sea;0;0;#Gulf of Gujarat
2790;1297;sea;0;0;#Gulf of Gujarat
2791;1297;sea;0;0;#Laquedive Islands
2791;1301;sea;0;0;#Laquedive Islands
2791;1303;sea;0;0;#Laquedive Islands
2791;1302;sea;0;0;#Laquedive Islands
2792;1302;sea;0;0;#Coast of Malabar
2792;1316;sea;0;0;#Coast of Malabar
2792;1317;sea;0;0;#Coast of Malabar
2792;1318;sea;0;0;#Coast of Malabar
2792;1319;sea;0;0;#Coast of Malabar
2793;1319;sea;0;0;#Comorin Cape
2793;1310;sea;0;0;#Comorin Cape
2793;1322;sea;0;0;#Comorin Cape
2793;1321;sea;0;0;#Comorin Cape
2794;1310;sea;0;0;#Coast of Caramandel
2794;1309;sea;0;0;#Coast of Caramandel
2794;1304;sea;0;0;#Coast of Caramandel
2794;1312;sea;0;0;#Coast of Caramandel
2794;1307;sea;0;0;#Coast of Caramandel
2794;1306;sea;0;0;#Coast of Caramandel
2794;1322;sea;0;0;#Coast of Caramandel
2795;1306;sea;0;0;#Coast Orissa
2795;1305;sea;0;0;#Coast Orissa
2795;1261;sea;0;0;#Coast Orissa
2796;1261;sea;0;0;#Ganges Delta
2796;1251;sea;0;0;#Ganges Delta
2796;1256;sea;0;0;#Ganges Delta
2796;1254;sea;0;0;#Ganges Delta
2796;1257;sea;0;0;#Ganges Delta
2796;1345;sea;0;0;#Ganges Delta
2797;1345;sea;0;0;#Akyab Bay
2797;1331;sea;0;0;#Akyab Bay
2797;1330;sea;0;0;#Akyab Bay
2798;1330;sea;0;0;#Irrawady Delta
2798;1332;sea;0;0;#Irrawady Delta
2798;1343;sea;0;0;#Irrawady Delta
2798;1344;sea;0;0;#Irrawady Delta
2799;1320;sea;0;0;#Andaman Sea
2800;1344;sea;0;0;#Mergui Archipelago
2800;1354;sea;0;0;#Mergui Archipelago
2800;1352;sea;0;0;#Mergui Archipelago
2801;1405;sea;0;0;#Straits of Malacca
2801;1406;sea;0;0;#Straits of Malacca
2801;1401;sea;0;0;#Straits of Malacca
2801;1352;sea;0;0;#Straits of Malacca
2801;1389;sea;0;0;#Straits of Malacca
2801;1388;sea;0;0;#Straits of Malacca
2801;2575;sea;0;0;#Straits of Malacca
2801;1387;sea;0;0;#Straits of Malacca
2802;1405;sea;0;0;#Nicobar Isles
2802;1407;sea;0;0;#Nicobar Isles
2803;1407;sea;0;0;#Coast of Atjeh
2803;1409;sea;0;0;#Coast of Atjeh
2803;1407;sea;0;0;#Coast of Atjeh
2803;1408;sea;0;0;#Coast of Atjeh
2803;1411;sea;0;0;#Coast of Atjeh
2804;1408;sea;0;0;#Coast of Sumatra
2804;1410;sea;0;0;#Coast of Sumatra
2804;1411;sea;0;0;#Coast of Sumatra
2805;1410;sea;0;0;#Sunda Strait
2805;1403;sea;0;0;#Sunda Strait
2805;1413;sea;0;0;#Sunda Strait
2805;1414;sea;0;0;#Sunda Strait
2806;1414;sea;0;0;#Coast of Java
2806;1416;sea;0;0;#Coast of Java
2806;2244;sea;0;0;#Coast of Java
2807;1416;sea;0;0;#Coast of Surabaya
2807;1419;sea;0;0;#Coast of Surabaya
2807;1420;sea;0;0;#Coast of Surabaya
2807;1438;sea;0;0;#Coast of Surabaya
2808;1438;sea;0;0;#Straits of Lombok
2808;1442;sea;0;0;#Straits of Lombok
2808;1440;sea;0;0;#Straits of Lombok
2808;1441;sea;0;0;#Straits of Lombok
2808;1439;sea;0;0;#Straits of Lombok
2809;1441;sea;0;0;#Timor Sea
2809;1439;sea;0;0;#Timor Sea
2809;1444;sea;0;0;#Timor Sea
2809;1443;sea;0;0;#Timor Sea
2809;1445;sea;0;0;#Timor Sea
2809;1446;sea;0;0;#Timor Sea
2809;2501;sea;0;0;#Timor Sea
2810;1444;sea;0;0;#The Moluccas
2810;1439;sea;0;0;#The Moluccas
2810;1437;sea;0;0;#The Moluccas
2810;1436;sea;0;0;#The Moluccas
2810;1431;sea;0;0;#The Moluccas
2810;1430;sea;0;0;#The Moluccas
2810;1449;sea;0;0;#The Moluccas
2811;1418;sea;0;0;#Java Sea
2811;1421;sea;0;0;#Java Sea
2811;1420;sea;0;0;#Java Sea
2811;1438;sea;0;0;#Java Sea
2811;1442;sea;0;0;#Java Sea
2811;1440;sea;0;0;#Java Sea
2811;1430;sea;0;0;#Java Sea
2811;1432;sea;0;0;#Java Sea
2811;1424;sea;0;0;#Java Sea
2811;1423;sea;0;0;#Java Sea
2811;1427;sea;0;0;#Java Sea
2812;1432;sea;0;0;#Straits of Makassar
2812;1435;sea;0;0;#Straits of Makassar
2812;1424;sea;0;0;#Straits of Makassar
2812;1429;sea;0;0;#Straits of Makassar
2812;1425;sea;0;0;#Straits of Makassar
2812;1397;sea;0;0;#Straits of Makassar
2813;1398;sea;0;0;#Karimata Strait
2813;1399;sea;0;0;#Karimata Strait
2813;1404;sea;0;0;#Karimata Strait
2813;1403;sea;0;0;#Karimata Strait
2813;1413;sea;0;0;#Karimata Strait
2813;1415;sea;0;0;#Karimata Strait
2813;1417;sea;0;0;#Karimata Strait
2813;1418;sea;0;0;#Karimata Strait
2813;1427;sea;0;0;#Karimata Strait
2813;1426;sea;0;0;#Karimata Strait
2814;1390;sea;0;0;#Straits of Johore
2814;1387;sea;0;0;#Straits of Johore
2814;1386;sea;0;0;#Straits of Johore
2814;1385;sea;0;0;#Straits of Johore
2814;1384;sea;0;0;#Straits of Johore
2814;1402;sea;0;0;#Straits of Johore
2814;1401;sea;0;0;#Straits of Johore
2814;1400;sea;0;0;#Straits of Johore
2814;1398;sea;0;0;#Straits of Johore
2814;2576;sea;0;0;#Straits of Johore
2814;1426;sea;0;0;#Straits of Johore
2845;1679;sea;0;0;#Ryukyu Islands
2845;1678;sea;0;0;#Ryukyu Islands
2846;1456;sea;0;0;#Luzon Strait
2846;2562;sea;0;0;#Luzon Strait
2846;2681;sea;0;0;#Luzon Strait
2846;1456;sea;0;0;#Luzon Strait
2847;1456;sea;0;0;#Paracel Islands
2847;1456;sea;0;0;#Paracel Islands
2848;1455;sea;0;0;#Manila Bay
2848;1458;sea;0;0;#Manila Bay
2848;1459;sea;0;0;#Manila Bay
2821;1459;sea;0;0;#Coast of Brunei
2821;1396;sea;0;0;#Coast of Brunei
2821;1397;sea;0;0;#Coast of Brunei
2821;1395;sea;0;0;#Coast of Brunei
2821;1393;sea;0;0;#Coast of Brunei
2821;1459;sea;0;0;#Coast of Brunei
2851;1397;sea;0;0;#Sulu Sea
2851;1464;sea;0;0;#Sulu Sea
2851;1463;sea;0;0;#Sulu Sea
2851;1462;sea;0;0;#Sulu Sea
2850;1460;sea;0;0;#Gulf of Leyte
2850;1458;sea;0;0;#Gulf of Leyte
2850;1459;sea;0;0;#Gulf of Leyte
2850;2565;sea;0;0;#Gulf of Leyte
2850;1461;sea;0;0;#Gulf of Leyte
2850;1462;sea;0;0;#Gulf of Leyte
2850;1463;sea;0;0;#Gulf of Leyte
2855;1463;sea;0;0;#Philippine Sea
2855;1448;sea;0;0;#Philippine Sea
2849;1461;sea;0;0;#Coast of Luzon
2849;1457;sea;0;0;#Coast of Luzon
2849;1458;sea;0;0;#Coast of Luzon
2849;1455;sea;0;0;#Coast of Luzon
2849;1456;sea;0;0;#Coast of Luzon
2817;1392;sea;0;0;#Mekong Delta
2817;1354;sea;0;0;#Mekong Delta
2817;1383;sea;0;0;#Mekong Delta
2817;1382;sea;0;0;#Mekong Delta
2817;1367;sea;0;0;#Mekong Delta
2818;1367;sea;0;0;#Gulf of Siam
2818;1365;sea;0;0;#Gulf of Siam
2818;1354;sea;0;0;#Gulf of Siam
2818;1353;sea;0;0;#Gulf of Siam
2818;1346;sea;0;0;#Gulf of Siam
2818;1351;sea;0;0;#Gulf of Siam
2819;1381;sea;0;0;#Camh Ranh Bay
2819;1380;sea;0;0;#Camh Ranh Bay
2822;1379;sea;0;0;#Coast of Annam
2822;1377;sea;0;0;#Coast of Annam
2822;1375;sea;0;0;#Coast of Annam
2823;1375;sea;0;0;#Gulf of Tonkin
2823;1376;sea;0;0;#Gulf of Tonkin
2823;1374;sea;0;0;#Gulf of Tonkin
2823;1370;sea;0;0;#Gulf of Tonkin
2823;1373;sea;0;0;#Gulf of Tonkin
2823;2632;sea;0;0;#Gulf of Tonkin
2823;1502;sea;0;0;#Gulf of Tonkin
2823;1495;sea;0;0;#Gulf of Tonkin
2823;1499;sea;0;0;#Gulf of Tonkin
2823;1501;sea;0;0;#Gulf of Tonkin
2823;1493;sea;0;0;#Gulf of Tonkin
2824;1498;sea;0;0;#Guangzhou Bay
2824;1496;sea;0;0;#Guangzhou Bay
2824;1493;sea;0;0;#Guangzhou Bay
2824;1497;sea;0;0;#Guangzhou Bay
2824;1494;sea;0;0;#Guangzhou Bay
2825;1494;sea;0;0;#Taiwan Strait
2825;2406;sea;0;0;#Taiwan Strait
2825;1485;sea;0;0;#Taiwan Strait
2825;2681;sea;0;0;#Taiwan Strait
2825;1487;sea;0;0;#Taiwan Strait
2825;1484;sea;0;0;#Taiwan Strait
2825;1482;sea;0;0;#Taiwan Strait
2825;1611;sea;0;0;#Taiwan Strait
2826;1611;sea;0;0;#Yangste Delta
2826;1610;sea;0;0;#Yangste Delta
2826;1608;sea;0;0;#Yangste Delta
2826;1609;sea;0;0;#Yangste Delta
2826;1604;sea;0;0;#Yangste Delta
2826;1606;sea;0;0;#Yangste Delta
2826;1538;sea;0;0;#Yangste Delta
2826;1537;sea;0;0;#Yangste Delta
2826;1539;sea;0;0;#Yangste Delta
2826;1540;sea;0;0;#Yangste Delta
2826;1541;sea;0;0;#Yangste Delta
2826;1543;sea;0;0;#Yangste Delta
2826;1426;sea;0;0;#Yangste Delta
2827;1536;sea;0;0;#Yellow Sea
2827;1542;sea;0;0;#Yellow Sea
2827;1571;sea;0;0;#Yellow Sea
2827;1566;sea;0;0;#Yellow Sea
2827;1565;sea;0;0;#Yellow Sea
2827;1635;sea;0;0;#Yellow Sea
2827;1636;sea;0;0;#Yellow Sea
2828;1569;sea;0;0;#Korea Bay
2828;1565;sea;0;0;#Korea Bay
2828;1567;sea;0;0;#Korea Bay
2828;1570;sea;0;0;#Korea Bay
2828;1617;sea;0;0;#Korea Bay
2828;1616;sea;0;0;#Korea Bay
2828;1613;sea;0;0;#Korea Bay
2828;1480;sea;0;0;#Korea Bay
2828;1479;sea;0;0;#Korea Bay
2828;1481;sea;0;0;#Korea Bay
2828;1620;sea;0;0;#Korea Bay
2828;1619;sea;0;0;#Korea Bay
2828;1627;sea;0;0;#Korea Bay
2828;1628;sea;0;0;#Korea Bay
2828;1626;sea;0;0;#Korea Bay
2829;1637;sea;0;0;#South Korean Sea
2829;1635;sea;0;0;#South Korean Sea
2829;1636;sea;0;0;#South Korean Sea
2829;1634;sea;0;0;#South Korean Sea
2829;2589;sea;0;0;#South Korean Sea
2829;1661;sea;0;0;#South Korean Sea
2829;1660;sea;0;0;#South Korean Sea
2829;1640;sea;0;0;#South Korean Sea
2829;1641;sea;0;0;#South Korean Sea
2829;1664;sea;0;0;#South Korean Sea
2829;1662;sea;0;0;#South Korean Sea
2842;1634;sea;0;0;#Amakusa Sea
2842;1631;sea;0;0;#Amakusa Sea
2842;1640;sea;0;0;#Amakusa Sea
2830;1630;sea;0;0;#East Sea
2830;1629;sea;0;0;#East Sea
2830;1621;sea;0;0;#East Sea
2830;1623;sea;0;0;#East Sea
2830;1622;sea;0;0;#East Sea
2830;1082;sea;0;0;#East Sea
2841;1642;sea;0;0;#Sea of Japan
2841;1672;sea;0;0;#Sea of Japan
2841;1671;sea;0;0;#Sea of Japan
2841;1673;sea;0;0;#Sea of Japan
2841;12;sea;0;0;#Sea of Japan
2841;1645;sea;0;0;#Sea of Japan
2841;1648;sea;0;0;#Sea of Japan
2841;1646;sea;0;0;#Sea of Japan
2841;1647;sea;0;0;#Sea of Japan
2841;1657;sea;0;0;#Sea of Japan
2841;1656;sea;0;0;#Sea of Japan
2841;1659;sea;0;0;#Sea of Japan
2831;1082;sea;0;0;#Soya Strait
2831;1087;sea;0;0;#Soya Strait
2831;1643;sea;0;0;#Soya Strait
2831;1642;sea;0;0;#Soya Strait
2839;1087;sea;0;0;#Gulf of Patience
2839;1089;sea;0;0;#Gulf of Patience
2839;1644;sea;0;0;#Gulf of Patience
2840;1644;sea;0;0;#Tsugaru Strait
2840;1642;sea;0;0;#Tsugaru Strait
2840;1672;sea;0;0;#Tsugaru Strait
2840;1670;sea;0;0;#Tsugaru Strait
2840;1668;sea;0;0;#Tsugaru Strait
2840;1669;sea;0;0;#Tsugaru Strait
2844;1653;sea;0;0;#Tokai Sea
2844;1650;sea;0;0;#Tokai Sea
2844;1651;sea;0;0;#Tokai Sea
2844;1649;sea;0;0;#Tokai Sea
2844;1676;sea;0;0;#Tokai Sea
2844;1675;sea;0;0;#Tokai Sea
2844;1658;sea;0;0;#Tokai Sea
2843;1656;sea;0;0;#Seto Inland Sea
2843;1655;sea;0;0;#Seto Inland Sea
2843;1659;sea;0;0;#Seto Inland Sea
2843;1639;sea;0;0;#Seto Inland Sea
2843;1638;sea;0;0;#Seto Inland Sea
2843;1640;sea;0;0;#Seto Inland Sea
2843;1660;sea;0;0;#Seto Inland Sea
2843;1664;sea;0;0;#Seto Inland Sea
2843;1663;sea;0;0;#Seto Inland Sea
2843;1662;sea;0;0;#Seto Inland Sea
2843;1667;sea;0;0;#Seto Inland Sea
2843;1665;sea;0;0;#Seto Inland Sea
2843;1660;sea;0;0;#Seto Inland Sea
3126;2525;sea;0;0;#Coast of Minami
2892;1654;sea;0;0;#Iwo Jima Sea
2891;1654;sea;0;0;#Tinian Sea
3150;658;sea;0;0;#Coast of Hawaii
3008;89;sea;0;0;#Coast of California
3008;90;sea;0;0;#Coast of California
3009;89;sea;0;0;#Santa Catalina Islands
3009;87;sea;0;0;#Santa Catalina Islands
3009;104;sea;0;0;#Santa Catalina Islands
3009;84;sea;0;0;#Santa Catalina Islands
3009;85;sea;0;0;#Santa Catalina Islands
3010;81;sea;0;0;#Coast of Oregon
3010;83;sea;0;0;#Coast of Oregon
3011;79;sea;0;0;#Coast of Columbia
3011;78;sea;0;0;#Coast of Columbia
3011;1426;sea;0;0;#Coast of Columbia
3011;1426;sea;0;0;#Coast of Columbia
3013;5;sea;0;0;#Gulf of Alaska
3013;3;sea;0;0;#Gulf of Alaska
3014;5;sea;0;0;#Coast of Alaska
3014;2631;sea;0;0;#Coast of Alaska
